scope,feature_name,importance_wape_mean,importance_wape_std
h3,sku_global_roll_12_sum,-0.0032000679803056986,0.0001251337081773496
h3,sku_global_positive_rate_12m,0.0008617762152559605,0.00010241765986285234
h3,sku_target_available_branch_count_lag_1,-0.00025672468607196297,0.0009200115704407485
h3,sku_positive_branch_count_lag_1,-0.000566862027467141,0.0009618195342612212
h3,sku_known_branch_count_to_origin,0.01200899243428033,3.2320947931374633e-06
h3,sku_ever_positive_branch_count_to_origin,0.001850778196302083,0.00010305759018514049
h3,cross_branch_penetration_to_origin,-2.857768958364204e-05,4.804832042082374e-05
h3,size_branch_lag_1,0.0029759607120550813,9.890534943635121e-05
h3,size_branch_lag_2,-0.000528015276077265,0.00014663280514881638
h3,size_branch_lag_3,-0.0004027348582128498,1.710629538609343e-05
h3,size_branch_lag_6,0.0018831250329962579,0.0005228006594459877
h3,size_branch_lag_12,0.0015347606253175439,0.0002930669786003204
h3,size_branch_roll_3_mean,0.0006177946160547121,0.0001160307233608604
h3,size_branch_roll_6_mean,0.0003648472346325926,0.00011215032019340487
h3,size_branch_roll_12_mean,0.00622453977624704,0.000827493340880725
h3,size_branch_target_available_sku_count_lag_1,0.006848833450735503,0.002156085766982896
h3,size_branch_positive_sku_count_lag_1,0.0005544877256103975,0.0006302967381049962
h3,horizon,0.0,0.0
h3,target_month_num,0.0,0.0
h3,target_quarter,0.0,0.0
h3,target_year,0.0,0.0
h3,target_days_in_month,0.0,0.0
h3,target_month_sin,0.0,0.0
h3,target_month_cos,0.0,0.0
h3,target_weekday_count,0.0,0.0
h3,target_public_holiday_event_count,0.0,0.0
h3,target_statutory_holiday_nominal_days,0.0,0.0
h3,target_working_days_proxy,0.0,0.0
h3,target_lunar_month_mid,0.0,0.0
h3,target_lunar_month_mid_is_leap,0.0,0.0
h3,target_lunar_month_sin,0.0,0.0
h3,target_lunar_month_cos,0.0,0.0
h3,target_tet_day_of_month,0.0,0.0
h3,target_days_to_next_tet_from_midmonth,0.0,0.0
h3,target_days_since_prev_tet_from_midmonth,0.0,0.0
h3,target_is_tet_month,0.0,0.0
h3,target_is_post_tet_month,0.0,0.0
