forecast_origin,model,level,n_units,wape_3m,mae_3m,bias_3m,bias_ratio_3m,actual_sum_m2,forecast_sum_m2
2025-10-01,soft_two_part_expected,BASE_SKU,1217,0.4157875514233678,519.8413277700382,-495009.7879954898,-0.32532983093152645,1521562.8599999999,1026553.0720045101
2025-10-01,lightgbm_reference,BRANCH,57,0.35839365336910983,9566.990740809673,-511242.03544069175,-0.33599797213812893,1521562.8599999999,1010320.8245593084
2025-10-01,soft_two_part_expected,BRANCH,57,0.3508585073671502,9365.846910963019,-495009.78799548984,-0.32532983093152645,1521562.8599999999,1026553.0720045102
2025-10-01,lightgbm_reference,PORTFOLIO,1,0.3359979721381289,511242.03544069175,-511242.03544069175,-0.3359979721381289,1521562.86,1010320.8245593084
2025-10-01,soft_two_part_expected,PORTFOLIO,1,0.32532983093152645,495009.7879954899,-495009.7879954899,-0.32532983093152645,1521562.86,1026553.0720045102
2025-11-01,lightgbm_reference,PAIR,13746,0.7317410648276071,64.02016363528385,-390981.1212277941,-0.32510234065430205,1202640.13,811659.0087722059
2025-11-01,soft_two_part_expected,PAIR,13746,0.7296001248935603,63.832852397061515,-367945.8972440944,-0.3059484612775182,1202640.13,834694.2327559056
2025-11-01,lightgbm_reference,BASE_SKU,1219,0.42345566764080844,417.772583413272,-390981.1212277941,-0.32510234065430205,1202640.13,811659.008772206
2025-11-01,soft_two_part_expected,BASE_SKU,1219,0.41174916221845237,406.2231878406814,-367945.8972440944,-0.3059484612775182,1202640.13,834694.2327559055
2025-11-01,lightgbm_reference,BRANCH,57,0.35166958045198354,7419.858771084542,-390981.1212277941,-0.32510234065430205,1202640.13,811659.0087722059
2025-11-01,soft_two_part_expected,BRANCH,57,0.33161208001155157,6996.66657920461,-367945.89724409435,-0.3059484612775181,1202640.13,834694.2327559056
2025-11-01,lightgbm_reference,PORTFOLIO,1,0.325102340654302,390981.121227794,-390981.121227794,-0.325102340654302,1202640.13,811659.0087722059
2025-11-01,soft_two_part_expected,PORTFOLIO,1,0.30594846127751807,367945.8972440943,-367945.8972440943,-0.30594846127751807,1202640.13,834694.2327559056
2025-12-01,lightgbm_reference,PAIR,14166,0.7435899349707734,62.57318383751722,-264711.314453268,-0.22206009257460524,1192070.6300000001,927359.3155467319
2025-12-01,soft_two_part_expected,PAIR,14166,0.7220566161988202,60.761152433135386,-303509.33978807775,-0.2546068430425785,1192070.6300000001,888561.2902119224
2025-12-01,lightgbm_reference,BASE_SKU,1227,0.39198437621887633,380.82564165394695,-264711.31445326796,-0.22206009257460524,1192070.63,927359.315546732
2025-12-01,soft_two_part_expected,BASE_SKU,1227,0.39470479544203685,383.4686179026976,-303509.3397880777,-0.2546068430425785,1192070.63,888561.2902119223
2025-12-01,lightgbm_reference,BRANCH,57,0.28175814230013807,5892.554494725531,-264711.31445326796,-0.22206009257460518,1192070.6300000001,927359.315546732
2025-12-01,soft_two_part_expected,BRANCH,57,0.2904093197962446,6073.481066796155,-303509.3397880777,-0.25460684304257847,1192070.6300000001,888561.2902119224
2025-12-01,lightgbm_reference,PORTFOLIO,1,0.22206009257460513,264711.31445326784,-264711.31445326784,-0.22206009257460513,1192070.63,927359.315546732
2025-12-01,soft_two_part_expected,PORTFOLIO,1,0.25460684304257847,303509.33978807763,-303509.33978807763,-0.25460684304257847,1192070.63,888561.2902119223
